exposure,label,cohort,ate,ate_lb,ate_ub,n,n_t1,n_t0,p_value_approx,p_adj_bonferroni,significant_bonferroni,p_adj_fdr,significant_fdr,significant_95
pulse_above_median,Pulse(Median),Cohort_A,-0.001668286464789553,-0.010711470433586709,0.007643212856989344,8828,5680,3148,0.7216196101890588,1.0,0,0.8118220614626912,0,0
pulse_above_median,Pulse(Median),Cohort_B,0.017661008591835833,-0.008116323949531155,0.04475250872744099,3123,2024,1099,0.19036876883013543,1.0,0,0.29539981370193424,0,0
pulse_above_median,Pulse(Median),Cohort_C,0.01890954910092364,-0.007406537873699377,0.05030611448441561,2435,1574,861,0.19900626389890474,1.0,0,0.28888006049841014,0,0
income_total_above_median,Income(Median),Cohort_A,-0.020690623026349622,-0.031872170351667145,-0.013809200537999822,8828,5014,3814,7.113977434247687e-06,0.0003201289845411459,1,0.0003201289845411459,1,1
income_total_above_median,Income(Median),Cohort_B,-0.015933300256234732,-0.045349828867609084,0.007196069918083839,3123,1320,1803,0.23457851440613187,1.0,0,0.3016009470935981,0,0
income_total_above_median,Income(Median),Cohort_C,-0.05874711275411008,-0.09686948117424331,-0.03860448593689063,2435,859,1576,7.735952727760953e-05,0.003481178727492429,1,0.0017405893637462144,1,1
disability_no,No disability(No vs Yes),Cohort_A,-0.010868164923731714,-0.021660002241332042,0.001725927717016516,8828,7010,1818,0.06849365064625967,1.0,0,0.16222180416219398,0,0
disability_no,No disability(No vs Yes),Cohort_B,-0.01888872968774214,-0.04495411077754901,0.006522874788798953,3123,2106,1017,0.15032431471257568,1.0,0,0.2505405245209595,0,0
disability_no,No disability(No vs Yes),Cohort_C,-0.026935312906371498,-0.05715912720393572,0.011594006111603909,2435,1846,589,0.1246039818269864,1.0,0,0.2242871672885755,0,0
fall_down_no,No fall(No vs Yes),Cohort_A,-0.006014132282641368,-0.015785903336049175,0.003709356534421006,8828,7649,1179,0.22655192927550027,1.0,0,0.2998481416881621,0,0
fall_down_no,No fall(No vs Yes),Cohort_B,-0.026254273292579615,-0.0534296687658,0.002349875671694107,3123,2320,803,0.06502843283107596,1.0,0,0.1625710820776899,0,0
fall_down_no,No fall(No vs Yes),Cohort_C,-0.04478100193598034,-0.08634415203847824,0.0063296625456003,2435,2057,378,0.05820020339766474,1.0,0,0.1540593619349949,0,0
pension_yes,Has pension(No vs Yes),Cohort_A,-0.0024366223196398344,-0.01692379107314693,0.011124084755680826,8828,7423,1405,0.7334462580754941,1.0,0,0.8050019905706643,0,0
pension_yes,Has pension(No vs Yes),Cohort_B,-0.00031944751772272466,-0.026162689548633843,0.03896100244218681,3123,2413,710,0.9846587809563194,1.0,0,0.9846587809563194,0,0
pension_yes,Has pension(No vs Yes),Cohort_C,-0.028744252703062755,-0.06762578207653655,0.005201379032668344,2435,1926,509,0.12181738630544414,1.0,0,0.2284075993227078,0,0
ins_yes,Has insurance(No vs Yes),Cohort_A,-0.1251653100745523,-0.2162136058232569,-0.014247984302102452,8828,8566,262,0.015125337244940473,0.6806401760223213,0,0.06187637963839285,0,1
ins_yes,Has insurance(No vs Yes),Cohort_B,0.18682209447395712,0.026772806868405694,0.30613940314128446,3123,3022,101,0.008755932031465408,0.39401694141594334,0,0.05628813448799191,0,1
ins_yes,Has insurance(No vs Yes),Cohort_C,-0.08822427421819627,-0.21267705834007103,-0.013684826164655845,2435,2321,114,0.08221908856947979,1.0,0,0.18499294928132953,0,1
