exposure,label,axis,method,ate,ate_lb,ate_ub,significant,n
exercise,运动,Cohort_C,TLearner,0.022678333005587307,-0.012272463575948873,0.0512178161760745,0,2435
lgrip_above_median,握力,Cohort_A,CausalForestDML,-0.015342137495419787,-0.0876159951417127,0.05693172015087312,0,8828
lgrip_above_median,握力,Cohort_A,LinearDML,-0.013692079012867097,-0.025719643112915642,-0.001664514912818547,1,8828
lgrip_above_median,握力,Cohort_A,DMLOrthoForest,-0.007638868276060728,-0.11468030480959848,0.09948063343886515,0,8828
lgrip_above_median,握力,Cohort_A,ForestDRLearner,-0.013967905514987805,-0.0606106432734779,0.032674832243502275,0,8828
lgrip_above_median,握力,Cohort_A,SLearner,-0.00019222049442085758,-0.002635321074963439,0.0002460133790831594,0,8828
lgrip_above_median,握力,Cohort_A,TLearner,-0.014441444242294167,-0.024520578692373163,-0.004790263808422498,1,8828
lgrip_above_median,握力,Cohort_B,CausalForestDML,-0.023978203636025475,-0.13404475541989652,0.08608834814784554,0,3123
lgrip_above_median,握力,Cohort_B,LinearDML,-0.02602673269140536,-0.055262215919209115,0.0032087505363983977,0,3123
lgrip_above_median,握力,Cohort_B,DMLOrthoForest,-0.020842215050662163,-0.2690347589193196,0.22826323759631667,0,3123
lgrip_above_median,握力,Cohort_B,ForestDRLearner,-0.023007662167323997,-0.10122662965886238,0.055211305324214366,0,3123
lgrip_above_median,握力,Cohort_B,SLearner,0.0001553097348334212,-0.0049414939161183105,0.002707474348560779,0,3123
lgrip_above_median,握力,Cohort_B,TLearner,-0.016493932908358683,-0.04497986760850138,0.00812078523402834,0,3123
lgrip_above_median,握力,Cohort_C,CausalForestDML,-0.03444718123074805,-0.1507055395212843,0.08181117705978817,0,2435
lgrip_above_median,握力,Cohort_C,LinearDML,-0.03171397463893512,-0.06784872418312278,0.004420774905252424,0,2435
lgrip_above_median,握力,Cohort_C,DMLOrthoForest,-0.03008488592067096,-0.2996248948088648,0.2395034863527352,0,2435
lgrip_above_median,握力,Cohort_C,ForestDRLearner,-0.025834574073051866,-0.1145397585479854,0.06287061040188165,0,2435
lgrip_above_median,握力,Cohort_C,SLearner,-0.0011694825680781218,-0.007506818412550374,0.0009922916615307676,0,2435
lgrip_above_median,握力,Cohort_C,TLearner,-0.028194664164778206,-0.06003718972392065,0.0020374986506219066,0,2435
lgrip_high_vs_low,握力,Cohort_A,CausalForestDML,-0.027790375635180106,-0.1332449460444011,0.07766419477404087,0,4415
lgrip_high_vs_low,握力,Cohort_A,LinearDML,-0.03545937213222032,-0.06279161464706426,-0.008127129617376376,1,4415
lgrip_high_vs_low,握力,Cohort_A,DMLOrthoForest,-0.034549686311991464,-0.2040789118040373,0.13480456997026402,0,4415
lgrip_high_vs_low,握力,Cohort_A,ForestDRLearner,-0.020279395011931316,-0.07552708977973921,0.034968299755876564,0,4415
lgrip_high_vs_low,握力,Cohort_A,SLearner,-0.0019603875098193335,-0.007166532667858468,6.0164078011372016e-05,0,4415
lgrip_high_vs_low,握力,Cohort_A,TLearner,-0.02902201757621513,-0.04640596444118057,-0.007838054613745394,1,4415
lgrip_high_vs_low,握力,Cohort_B,CausalForestDML,-0.010344207216375152,-0.16064931761916884,0.1399609031864185,0,1514
lgrip_high_vs_low,握力,Cohort_B,LinearDML,-0.01189094032002992,-0.0799010377866988,0.056119157146639,0,1514
lgrip_high_vs_low,握力,Cohort_B,DMLOrthoForest,0.013980758194224285,-0.354845796165434,0.38262069912487984,0,1514
lgrip_high_vs_low,握力,Cohort_B,ForestDRLearner,-0.007615363443901071,-0.12168331336719855,0.10645258647939639,0,1514
lgrip_high_vs_low,握力,Cohort_B,SLearner,-0.00018582367810459255,-0.0023185567961480974,0.0029390908095141706,0,1514
lgrip_high_vs_low,握力,Cohort_B,TLearner,-0.012490197727843984,-0.04744695976387559,0.04026244350076611,0,1514
lgrip_high_vs_low,握力,Cohort_C,CausalForestDML,-0.03794191549584715,-0.2098193716613205,0.13393554066962612,0,1270
lgrip_high_vs_low,握力,Cohort_C,LinearDML,-0.035255820210739315,-0.11066091104874827,0.04014927062726961,0,1270
lgrip_high_vs_low,握力,Cohort_C,DMLOrthoForest,-0.007111884730322135,-0.41617057174628663,0.40332589230848587,0,1270
lgrip_high_vs_low,握力,Cohort_C,ForestDRLearner,-0.023374836639366677,-0.14507196407560388,0.09832229079687049,0,1270
lgrip_high_vs_low,握力,Cohort_C,SLearner,0.0012297203326242104,-0.00869625817091124,0.005842605450491352,0,1270
lgrip_high_vs_low,握力,Cohort_C,TLearner,-0.010276235494126911,-0.0636939981182882,0.06158740839838783,0,1270
wspeed_above_median,步行速度,Cohort_A,CausalForestDML,0.019585877174324338,-0.5552270685584393,0.5943988229070879,0,8828
wspeed_above_median,步行速度,Cohort_A,LinearDML,0.018833823481617953,-0.12412146253856123,0.1617891095017971,0,8828
